127.0.0.1 - - [03/Mar/2022:21:20:50 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:14 -0300] "GET /projtrilhaseguranca/autenticar HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:25 -0300] "GET /projtrilhaseguranca/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:38 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:38 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:38 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5175
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:38 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:38 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:39 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:44 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:44 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:44 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5175
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:44 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:44 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:45 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:45 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:45 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:45 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:53 -0300] "GET /ProjetoTrilhaWeb/pages/site/produtos.html HTTP/1.1" 200 2743
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:21:55 -0300] "GET /ProjetoTrilhaWeb/index.html HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:13 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:13 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:13 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:13 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:17 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:17 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:18 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:18 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:18 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:18 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:21 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=91 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:21 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:21 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:21 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:21 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:21 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:21 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [03/Mar/2022:21:22:21 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
